Text,Text1,Text2,Text3
$571,/ 1br - 640ft2 - ,"Laundry Facility, Dishwasher, Tile Flooring","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Patrol Service
-Discounts for Students and Preferred Employers
-Green Community
-Cable Ready
-Laundry Facility
-Tile Flooring
-Playground
-Master Card, Visa, & Discover Cards Accepted
-Dishwasher
-Central Air Conditioning
-Window Coverings
-Conference Room

Call:  show contact info


For more information, visit us at: https://livewithm2.com/4sxtjfao/woodcrest-apartments

Pricing and availability are subject to change.
    "
$550,/ 1br - ,Lexington Schools: 1-bdrm apartment w/air conditioning,"
        
            QR Code Link to This Post
            
        
Stimens Apartments is now accepting applications for a second-floor 1-bedroom apartment on Straub Road in Mansfield.  Features include stove, refrigerator, and air conditioning. Laundry facilities are available onsite, and there is off-street parking.

Property Address:  650 Straub Road West, Mansfield
Rent: $550
Security Deposit: $550
Tenant pays: Electric (No gas bill - all-electric apartment)
Landlord pays:  Water, sewer, and garbage
Small pets are accepted with prior approval and payment of pet deposit and pet rent.
Metro IS accepted at this location.

For more information, please contact:
Stimens Apartments
711 S. Main Street, Mansfield, OH
 show contact info

Visit www.stimensapartments.com - to see this and our other properties and to print an application - $25 application fee per applicant.

We hope to hear from you soon!
    "
$571,/ 1br - 640ft2 - ,"Patrol Service, Window Coverings, Tile Flooring","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Business Center
-Washer/Dryer
-Basketball Courts
-New/Renovated Interior
-Laundry Facility
-Patrol Service
-Dishwasher
-Easy Access to Interstates
-Common Areas Monitored by 24-Hour Video Surveillance
-Master Card, Visa, & Discover Cards Accepted
-Tile Flooring
-Window Coverings

Call:  show contact info


For more information, visit us at: https://livewithm2.com/37cxqn7u/woodcrest-apartments

Pricing and availability are subject to change.
    "
$600,/ 1br - 728ft2 - ,Best Rates In Town!,"
        
            QR Code Link to This Post
            
        
Experience luxury apartment living and first-rate convenience! Canterbury Green Apartments is conveniently located on the northeast side of Fort Wayne, Indiana, minutes away from Purdue University and Fort Wayne International Airport. All of our spacious homes are fully equipped with a washer and dryer, a private patio or balcony, and an abundance of closet space. Many of our homes feature cozy fireplaces and custom finishes such as built-in bookcases.

Property Amenities: GOTech Business CenterOnsite Golf CourseOnsite Bar & GrillGuest Suites AvailableFour Swimming Pools250+ Beautifully Landscaped AcresState-of-the-Art GOFit Wellness ClubResident Event LoungeThree Tennis CourtsGOFetch Off-Leash Dog ParkGame Room with Billiard TablesRacquetball Court & Sports Court

Call Us Today!  show contact info


For more information, visit us at: https://livegoldoller.com/4xaov5lt/canterbury-green

*Pricing and availability are subject to change daily. Photos may not be of your exact home. Please contact us today for the most up to date information! Professionally managed by GoldOller Real Estate Investments, a provider of Fair Housing and Equal Opportunity.
    "
$500,/ 1br - ,@@!! Walden Pointe Apartments @@!!,"
        
            QR Code Link to This Post
            
        
Walden Pointe offers pleasant views combine with distinctive details to create the tranquil and sophisticated environment that only we can offer. Walden Pointe has a resort-style pool, a colorful playground, large dog park, and executive business center where residents has access to a high speed WI-FI accessible computer. We also have 24 hour fitness center and a 24 hour laundry facility. Walden Pointe also provides residents with a car care center where they can wash and clean the exterior and interior of their cars. We take pride in providing residents with quick maintenance resolutions and the best customer service.

Snd Me Your Number....!
    "
$325,/ 6br - ,Apartments Going Fast- Get Yours Now! 🏃‍♂️🏃‍♀️,"
        
            QR Code Link to This Post
            
        
Visit us online at: ArcadiaGroveApartments.com

Location, Location, LOCATION!
Arcadia Grove Apartments is located on Lafayette Avenue. All locations are just minutes to downtown Kalamazoo, Bronson Medical Center and US-131.

Arcadia Grove in Kalamazoo is near Western Michigan University. Our community is near dining, shopping, and entertainment – plus our residents have quick access to US-131!

We are near a variety of restaurants and bars including Sweetwater’s Donut Mill, Buffalo Wild Wings, Shawarma King, Chipotle and University Roadhouse.

We are also close to major employers, including Bronson Medical Center, WMU and Pfizer.

Call TODAY or check us out on the web!
www.ArcadiaGroveApartments.com

Equal Housing Opportunity. Specials are based on availability and may expire or change at any time. Specials and discounts may not be combined. Rates are subject to change without advanced notice.


    "
$548,/ 1br - 600ft2 - ,"Bike Storage, Cable Ready, Dishwasher","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Green Community
-Easy Access to ADM & CAT
-Washer/Dryer
-Conference Room
-Window Coverings
-Additional Storage
-Swimming Pool
-Easy Access to Interstates
-Laundry Facility
-Dishwasher
-Business Center
-Patrol Service

Call:  show contact info


For more information, visit us at: https://livewithm2.com/ybz5vvdm/woodcrest-apartments

Pricing and availability are subject to change.
    "
$590,/ 1br - 625ft2 - ,Are you looking for a new home?  Check out Shannon Fox Apartments!,"
        
            QR Code Link to This Post
            
        
Have you been looking for that special place to call home?  Shannon Fox Apartments is Jennings best kept little secret. It is a smaller community. Each building has its' own entrance with only four apartments per building, featuring floor plans with one or two bedrooms. Another unique feature, that you don't often find, are private two car garages in each building along with off street parking. Each apartment has all the amenities you need along with washer and dryers in each building. 
Shannon Fox Apartments is located at 8858 Shannon Fox Circle, St. Louis, MO 63136. The community is a well established residential neighborhood with easy access to major highways, shopping, restaurants, not to mention great schools and recreational activities for all ages. One of the greatest features nearby are all the parks available to residents in the area with lakes, trails, picnic areas and a wonderful Civic Center with recreational activities for everyone.  Don't wait, call today and set up an appointment and see what we have to offer you for your new ""PAD""!!   
Call:  show contact info
.   Office hours are Mon-Friday, 8am to noon!    ASK FOR NIKKI OR Nick!
    "
$590,/ 1br - 625ft2 - ,We have it all!  Check out Shannon Fox Apartments!,"
        
            QR Code Link to This Post
            
        
Have you been looking for that special place to call home?  Shannon Fox Apartments is Jennings best kept little secret. It is a smaller community. Each building has its' own entrance with only four apartments per building, featuring floor plans with one or two bedrooms. Another unique feature, that you don't often find, are private two car garages in each building along with off street parking. Each apartment has all the amenities you need along with washer and dryers in each building.  
Shannon Fox Apartments is located at 8858 Shannon Fox Circle, St. Louis, MO 63136. The community is a well established residential neighborhood with easy access to major highways, shopping, restaurants, not to mention great schools and recreational activities for all ages. One of the greatest features nearby are all the parks available to residents in the area with lakes, trails, picnic areas and a wonderful Civic Center with recreational activities for everyone.  Don't wait, call today and set up an appointment and see what we have to offer you for your new ""PAD""!!   
Call:  show contact info
.   Office hours are Mon-Friday, 8am to noon!    ASK FOR Nick!
    "
$590,/ 1br - ,We have it all!  Check out Shannon Fox Apartments!,"
        
            QR Code Link to This Post
            
        
Have you been looking for that special place to call home?  Shannon Fox Apartments is Jennings best kept little secret. It is a smaller community. Each building has its' own entrance with only four apartments per building, featuring floor plans with one or two bedrooms. Another unique feature, that you don't often find, are private two car garages in each building along with off street parking. Each apartment has all the amenities you need along with washer and dryers in each building.  
Shannon Fox Apartments is located at 8858 Shannon Fox Circle, St. Louis, MO 63136. The community is a well established residential neighborhood with easy access to major highways, shopping, restaurants, not to mention great schools and recreational activities for all ages. One of the greatest features nearby are all the parks available to residents in the area with lakes, trails, picnic areas and a wonderful Civic Center with recreational activities for everyone.  Don't wait, call today and set up an appointment and see what we have to offer you for your new ""PAD""!!   
Call:  show contact info
.   Office hours are Mon-Friday, 8am to noon!    ASK FOR NICK!
    "
$590,/ 1br - 625ft2 - ,Looking for a great deal?  Check out Shannon Fox Apartments,"
        
            QR Code Link to This Post
            
        
Looking for a small apartment community?  Check out Shannon Fox Apartments.   Each building has its own entrance, with only four apartments per building. Featuring spacious floor plans with one and two bedrooms, 24 hour emergency maintenance, building garages and off street parking. This little community is located in the heart of a well established residential neighborhood, nestled on a tree-lined street, with easy access to the major highways.

What's nearby? Shopping centers, fine restaurants, recreational activities and just about everything else is easily accessible from our central location. Peace and quiet. Shannon Fox Apartments offer a low-key, peaceful living environment tailored to the lifestyle needs of families and those looking to downsize and move to a maintenance free environment.

The great outdoors. Shannon Fox Apartments are located in a suburban area of town that has numerous parks and recreational opportunities. If you like hiking, biking, walking, running or just plain having fun outside... Shannon fox is the place for you!

Visit our website http://shannonfoxapts.net/ for other wonderful news and information about our community. We look forward to helping you find a home with us. Outstanding Agent. Outstanding Results. Personalized Service. Proven Results.
Call today  show contact info
  Ask for Nick! 
Office hours... 8am-12noon  Mon- Friday   
Our address is 8858 Shannon Fox  #G   St. Louis,  MO  63136  (Jennings)
Your new home awaits you!!!
    "
$580,/ 1br - 625ft2 - ,Check out Shannon Fox Apartments for your new home!,"
        
            QR Code Link to This Post
            
        
Looking for a smaller apartment community. CHECK OUT SHANNON FOX APARTMENTS!!!

Each building has its own entrance, with only four apartments per building. 
Featuring spacious floor plans with one and two bedrooms, 
24 hour emergency maintenance, 
garages and off street parking. 
Gas and Electric hook up. 
Not handicapped accessible. 
This little community is located in the heart of a well established residential neighborhood, nestled on a tree-lined street, with easy access to the major highways.

What's nearby? Shopping centers, fine restaurants, recreational activities with parks and a wonderful community center. Just about everything else is easily accessible from our central location. Peace and quiet. Shannon Fox Apartments offer a low-key, peaceful living environment tailored to the lifestyle needs of families, couples or singles.  Call Now!! 
Location: 8858 Shannon Fox Circle #G  St. Louis, MO  63136   
Call  show contact info

Hours: M-F  8am-12noon    ASK FOR LIZ!!!



Visit our website http://shannonfoxapts.net/ for other wonderful news and information about our community.
    "
$550,/ 1br - 625ft2 - ,Are you looking for a new home?  Check out Shannon Fox Apartments!,"
        
            QR Code Link to This Post
            
        
Have you been looking for that special place to call home?  Shannon Fox Apartments is Jennings best kept little secret. It is a smaller community. Each building has its' own entrance with only four apartments per building, featuring floor plans with one or two bedrooms. Another unique feature, that you don't often find, are private two car garages in each building along with off street parking. Each apartment has all the amenities you need along with washer and dryers in each building. 
Shannon Fox Apartments is located at 8858 Shannon Fox Circle, St. Louis, MO 63136. The community is a well established residential neighborhood with easy access to major highways, shopping, restaurants, not to mention great schools and recreational activities for all ages. One of the greatest features nearby are all the parks available to residents in the area with lakes, trails, picnic areas and a wonderful Civic Center with recreational activities for everyone.  Don't wait, call today and set up an appointment and see what we have to offer you for your new ""PAD""!!   
Call:  show contact info
.   Office hours are Mon-Friday, 8am to noon!    ASK FOR  Nick!
    "
$590,/ 1br - 625ft2 - ,Time is running out!  Check out Shannon Fox Apartments!,"
        
            QR Code Link to This Post
            
        
Have you been looking for that special place to call home?  Shannon Fox Apartments is Jennings best kept little secret. It is a smaller community. Each building has its' own entrance with only four apartments per building, featuring floor plans with one or two bedrooms. Another unique feature, that you don't often find, are private two car garages in each building along with off street parking. Each apartment has all the amenities you need along with washer and dryers in each building.  
Shannon Fox Apartments is located at 8858 Shannon Fox Circle, St. Louis, MO 63136. The community is a well established residential neighborhood with easy access to major highways, shopping, restaurants, not to mention great schools and recreational activities for all ages. One of the greatest features nearby are all the parks available to residents in the area with lakes, trails, picnic areas and a wonderful Civic Center with recreational activities for everyone.  Don't wait, call today and set up an appointment and see what we have to offer you for your new ""PAD""!!   
Call:  show contact info
.   Office hours are Mon-Friday, 8am to noon!    ASK FOR Nick!
    "
$584,/ 1br - ,Argenta Country Place Apartments,"
        
            QR Code Link to This Post
            
        
Looking for a multi-Family community that provides the home you want and the value you need?  Argenta Country Place Apartments, Multi Family Community, offers some newly remodeled 1-Bedroom and 2-Bedroom apartments at some of the best prices in Argenta. While our rents are low, the quality of amenities we provide is not. Our community features laundry facility and more. The spacious apartments include some hardwood floors and energy efficient appliances. Units are filling quickly—contact our friendly staff to find out how you can make Argenta Country Place Apartments your new home! 
We Accept Housing Vouchers!
1 Bedroom-$584-$764
2 Bedroom-$615-$795
Community Amenities: Laundry Facilities, On-Site Maintenance  
Apartment Amenities: Air Conditioner, Cable Ready, Carpeting, Plank Floors, Electric Range, Refrigerator.  

Contact Us:
 show contact info



This institution is an equal opportunity employer and provider.
    "
$499,/ 1br - ,Maroa Country Place Apartments,"
        
            QR Code Link to This Post
            
        
Maroa Country Place Apartments is an affordable, Multi Family living community that offers affordable1 and 2-bedroom apartments at some of the biggest steals in Maroa. Our community features laundry facility and more. The spacious, clean apartments include some hardwood floors and energy efficient appliances. Contact our staff soon, as these homes are filling quickly, and find out how more about Maroa Country Place Apartments!
Community Amenities:
Laundry Facilities, On-Site Maintenance
Apartment Amenities: 
Air Conditioner, Cable Ready, Carpeting, Plank Floors, Electric Range, Refrigerator
We Accept Housing Vouchers! 
1 Bedroom-$499-$674
2 Bedroom-$530-$705
Contact Us:
                  show contact info

This institution is an equal opportunity employer and provider.
    "
$530,/ 2br - ,Maroa Country Place Apartments,"
        
            QR Code Link to This Post
            
        
Maroa Country Place Apartments is an affordable, Multi Family living community that offers affordable1 and 2-bedroom apartments at some of the biggest steals in Maroa. Our community features laundry facility and more. The spacious, clean apartments include some hardwood floors and energy efficient appliances. Contact our staff soon, as these homes are filling quickly, and find out how more about Maroa Country Place Apartments!
Community Amenities:
Laundry Facilities, On-Site Maintenance
Apartment Amenities: 
Air Conditioner, Cable Ready, Carpeting, Plank Floors, Electric Range, Refrigerator
We Accept Housing Vouchers! 
1 Bedroom-$499-$674
2 Bedroom-$530-$705
Contact Us:
                  show contact info

This institution is an equal opportunity employer and provider.
    "
$541,/ 1br - 575ft2 - ,"Swimming Pool, Easy Access to Interstates, Cable Ready","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Swimming Pool
-Bark Park
-Preferred Employer & Student Discounts Available
-Central Air Conditioning
-Tile Flooring
-Dishwasher
-Washer/Dryer
-Patrol Service
-Master Card, Visa, & Discover Cards Accepted
-New/Renovated Interior
-Fitness Center
-Additional Storage

Call:  show contact info


For more information, visit us at: https://livewithm2.com/c3cozw6h/woodcrest-apartments

Pricing and availability are subject to change.
    "
$580,/ 1br - 441ft2 - ,"""Kentucky Our sexy one bedroom one bathroom apartment for rent""","
        
            QR Code Link to This Post
            
        
Welcome to a new way of living! 
Our sexy one bedroom one bathroom apartment are located just minutes from the Watterson Expressway. Conveniently located between New Cut and Dixie! It's surrounded by multiple shopping centers and restaurant's. 

-Offering 6 and 12 month leases!! 

-When you sign a 12 month lease you qualify for one of two move in specials !! 

-Text us at by Southwood Apartments at 2521 Penna cook Rd. and see us today!!

Our sexy 1BR as low as $580 a month
    "
$375,/ 1br - ,Newly Remodeled Studio Apartments!,"
        
            QR Code Link to This Post
            
        
Beautiful remodeled studio apartments available at the Egyptian Sands building at UNIVERSITY EDGE! 

>>Pricing starts at $375/month on a 12 month lease
>>Guarantor is not required, but necessary for the best deal
>>Full Kitchen and Bath
>>Comes unfurnished
>> Laundry is in the building, Water and Trash Included!!! 
>>Pet free establishment 

This apartment is located in the same building at the leasing office at 501 E. College St in Carbondale. 

Call us at  show contact info
! We would love to meet you and show you around! Shows are M-F from 1-4:30. 

www.universityedge.net
    "
$585,/ 1br - 625ft2 - ,1 Bed | Kettering -,"
        
            QR Code Link to This Post
            
        
Roscommon Place and Wilmington House Apartments

www.rpwhapts.com


Call for our Move In Special!!!
 show contact info

* Please CALL as emails are not monitored *


Short Term leases available (from 6-12 months)


Extra large 1 bedroom apartments also available, call for more information. 

Amenities:
* Cats Welcome
* AC
* Central Heat
* Equipped Kitchens
* Stackable W/D hook-ups
* Balcony, or Patio



Wilmington House is locally owned and we take great pride in keeping our residents happy and our property clean and in good repair. Wilmington House has a modern 24/7 laundry facility exclusively for our residents. We also have a community recreation area for your use in entertaining, with additional grills and picnic tables scattered about charmingly landscaped green spaces. The new Horace Mann Neighborhood Elementary School is just next door. Living at Wilmington House puts you within walking distance of banks, pharmacies, shopping, restaurants, a 24-Hour coffee shop, and even a neighborhood tavern. We're just 1-2 miles from Downtown, The University of Dayton, Kettering Business Park and Research Park, and a short drive from WBAFB, Wright State University, and all major highways! Section 8 NOT accepted. Contact us to schedule an appointment and let us show you why we think Wilmington House is a great place to live!

Roscommon Place and Wilmington House Apartments
Office Hours: 
Mon - 1 to 5PM 
Wed - 10 to 4PM 
Fri    - 10 to 4PM 


www.rpwhapts.com


    "
